,ENSG00000121741,ENSG00000189079,ENSG00000178105,ENSG00000119397,ENSG00000147050,ENSG00000126883,ENSG00000101096,ENSG00000111642,ENSG00000147889,ENSG00000173575,ENSG00000145675,ENSG00000130396,ENSG00000196498,ENSG00000178104,ENSG00000183508,ENSG00000154767,ENSG00000041982,ENSG00000111276,ENSG00000115760,ENSG00000078177,ENSG00000196924,ENSG00000106462,ENSG00000168685,ENSG00000122778,ENSG00000104517,ENSG00000163939,ENSG00000067842,ENSG00000173821,ENSG00000116016,ENSG00000049618,ENSG00000168036,ENSG00000165238,ENSG00000124181,ENSG00000100697,ENSG00000122779,ENSG00000147862,ENSG00000079112,ENSG00000196712,ENSG00000179295,ENSG00000111087,ENSG00000198173,ENSG00000144218,ENSG00000083857,ENSG00000103197,ENSG00000110844,ENSG00000171456,ENSG00000187741,ENSG00000185811,ENSG00000163520,ENSG00000137265,ENSG00000044524,ENSG00000187323,ENSG00000147130,ENSG00000169862,ENSG00000164330,ENSG00000139618,ENSG00000257923,ENSG00000198795,ENSG00000079805,ENSG00000055609,ENSG00000109670,ENSG00000165671,ENSG00000102034,ENSG00000051341,ENSG00000118058,ENSG00000168769,ENSG00000159216,ENSG00000073792,ENSG00000143924,ENSG00000128052,ENSG00000065526,ENSG00000181143,ENSG00000117713,ENSG00000115524,ENSG00000147548,ENSG00000109685,ENSG00000029725,ENSG00000151702,ENSG00000121989,ENSG00000143549,ENSG00000134982,ENSG00000119866,ENSG00000047410,ENSG00000196531,ENSG00000091831,ENSG00000164362,ENSG00000173674,ENSG00000125618,ENSG00000143322,ENSG00000184507,ENSG00000183337,ENSG00000182162,ENSG00000175054,ENSG00000162613,ENSG00000068323,ENSG00000179583,ENSG00000062822,ENSG00000171094,ENSG00000123080,ENSG00000204843,ENSG00000100815,ENSG00000140937,ENSG00000096968,ENSG00000107882,ENSG00000185920,ENSG00000100393,ENSG00000140262,ENSG00000078674,ENSG00000157554,ENSG00000129993,ENSG00000160867,ENSG00000113360,ENSG00000147140,ENSG00000197535,ENSG00000168542,ENSG00000139219,ENSG00000163041,ENSG00000164796,ENSG00000085185,ENSG00000095015,ENSG00000105662,ENSG00000175595,ENSG00000167548,ENSG00000144554,ENSG00000066468,ENSG00000046889,ENSG00000039068,ENSG00000077782,ENSG00000172175,ENSG00000157168,ENSG00000089280,ENSG00000129204,ENSG00000096384,ENSG00000143379,ENSG00000101972,ENSG00000126012,ENSG00000073614,ENSG00000142611,ENSG00000133124,ENSG00000116062,ENSG00000140538,ENSG00000131653,ENSG00000114423,ENSG00000100345,ENSG00000133895,ENSG00000145819,ENSG00000103522,ENSG00000184634,ENSG00000137812,ENSG00000119772,ENSG00000122025,ENSG00000165731,ENSG00000139263,ENSG00000198286,ENSG00000157404,ENSG00000135903,ENSG00000137497,ENSG00000198604,ENSG00000146648,ENSG00000066032,ENSG00000168702,ENSG00000049540,ENSG00000083168,ENSG00000171735,ENSG00000182054,ENSG00000134853,ENSG00000100852,ENSG00000182578,ENSG00000085276,ENSG00000054118,ENSG00000138336,ENSG00000148400,ENSG00000141968,ENSG00000166501,ENSG00000131023,ENSG00000157388,ENSG00000165323,ENSG00000090659,ENSG00000100030,ENSG00000139687,ENSG00000165699,ENSG00000183454,ENSG00000196220,ENSG00000172915,ENSG00000152217,ENSG00000118007,ENSG00000167258,ENSG00000125952,ENSG00000140464,ENSG00000140836,ENSG00000141510,ENSG00000182872,ENSG00000118515,ENSG00000198400,ENSG00000129514,ENSG00000112531,ENSG00000134250,ENSG00000185177,ENSG00000196914,ENSG00000101115,ENSG00000130844,ENSG00000012048,ENSG00000127914,ENSG00000163629,ENSG00000130779,ENSG00000083799,ENSG00000162733,ENSG00000128513,ENSG00000127329,ENSG00000113721,ENSG00000196159,ENSG00000079102,ENSG00000015285,ENSG00000111679,ENSG00000157765,ENSG00000105976,ENSG00000121879,ENSG00000141027,ENSG00000135333,ENSG00000186716,ENSG00000010671,ENSG00000072501,ENSG00000073282,ENSG00000198822,ENSG00000122512,ENSG00000037280,ENSG00000171302,ENSG00000138413,ENSG00000108821,ENSG00000104884,ENSG00000079432,ENSG00000134371,ENSG00000157764,ENSG00000150457,ENSG00000170836,ENSG00000197323,ENSG00000197299,ENSG00000183742,ENSG00000074964,ENSG00000112175,ENSG00000051382,ENSG00000029534,ENSG00000100503,ENSG00000177084,ENSG00000135679,ENSG00000099949,ENSG00000169925,ENSG00000182511,ENSG00000160271,ENSG00000116731,ENSG00000122406,ENSG00000141867,ENSG00000148737,ENSG00000179094,ENSG00000148584,ENSG00000047936,ENSG00000107485,ENSG00000116128,ENSG00000173757,ENSG00000127152,ENSG00000205755,ENSG00000087460,ENSG00000203734,ENSG00000085224,ENSG00000198793,ENSG00000165409,ENSG00000182866,ENSG00000145012,ENSG00000135605,ENSG00000147724,ENSG00000198354,ENSG00000153201,ENSG00000213281,ENSG00000140396,ENSG00000127616,ENSG00000184675,ENSG00000110713,ENSG00000163161,ENSG00000185008,ENSG00000149311,ENSG00000196090,ENSG00000127946,ENSG00000181555,ENSG00000196367,ENSG00000140521,ENSG00000178568,ENSG00000169083,ENSG00000138376,ENSG00000005339,ENSG00000120457
GTEX-13QIC-0011-R1a-SM-5O9CJ,4.7093,2.3871,2.6371,2.4279,4.0713,4.3477,-0.9686,5.9263,1.2085,5.2242,4.6787,4.5528,5.7618,5.8017,-1.9379,4.298,2.7763,6.0976,4.2691,-1.9942,5.625,0.0158,-3.458,-0.8863,4.853,2.651,-1.5951,4.528,4.5838,3.1045,5.7498,2.909,6.1179,4.1359,2.5536,3.0127,-6.5064,3.4726,6.1809,-4.2934,-6.5064,-0.2159,3.9022,5.5407,4.1169,4.2877,-0.6416,0.058,0.517,-4.035,-1.5105,-0.2328,3.287,5.9729,-0.2671,-3.3076,4.5342,2.5511,6.2348,3.7815,2.5213,2.5996,0.4657,-5.0116,3.222,1.3511,0.2522,-0.9686,1.9895,2.0325,4.8294,-9.9658,3.831,7.05,4.1708,3.6066,4.9737,1.7097,1.2147,5.8761,2.8462,2.3019,4.1335,9.4776,-1.8314,-9.9658,4.8783,-0.9971,1.5415,-9.9658,3.2297,-4.2934,2.9802,5.6071,4.4588,1.7316,2.6464,-0.4131,3.287,6.9238,1.4756,2.4649,1.3454,1.8201,2.8219,3.0619,5.2608,5.6876,0.2642,0.9716,-1.5105,4.7517,6.4798,3.4318,-1.8836,-6.5064,8.0872,0.517,1.3956,1.4652,3.3206,0.4657,3.6277,0.3573,8.008,2.7139,2.4675,4.0287,0.8082,-1.0862,7.7007,-1.3548,8.0716,4.0549,4.0225,4.6271,2.0535,0.2881,-5.0116,3.4713,2.9243,3.4765,2.6114,4.7565,3.5766,1.2455,-1.5105,3.866,-1.8836,2.9319,-4.6082,-2.7274,2.4412,0.6517,0.7664,-9.9658,7.1666,3.011,1.7744,3.8054,1.46,4.4067,3.0637,5.3331,5.381,3.7825,4.5129,4.0807,1.0433,4.5015,-0.6416,3.4556,0.6332,2.694,2.2237,-0.1504,-0.5756,-3.3076,3.8218,2.9013,3.5718,1.3454,2.6138,1.6374,-0.5125,2.2573,3.011,5.2173,3.1195,-0.2671,2.0183,4.6101,7.1204,-1.6394,-4.6082,8.0167,1.7141,-9.9658,3.1749,-3.3076,3.9242,2.0535,3.6125,3.5596,2.9262,3.6961,2.5163,3.345,1.8957,2.9186,0.099,0.2881,1.7009,2.7379,-5.5735,-2.114,1.0983,4.8817,-2.4659,4.2457,2.0569,3.5584,-4.035,5.4476,1.7097,-0.1665,2.5163,3.5124,-1.0262,3.1653,5.4663,2.6208,2.7615,0.8082,1.9822,2.6208,2.0395,-5.0116,3.2602,-5.0116,3.0723,-0.6193,2.0707,2.0111,5.2052,5.1615,3.74,1.8036,7.5893,4.3702,8.5936,3.8126,1.9968,6.0668,-9.9658,-9.9658,-4.6082,1.9264,4.3597,-2.114,-9.9658,8.8797,-3.1714,2.4934,3.6939,-3.816,-3.3076,0.5568,-1.7809,-0.7588,-2.2447,2.3677,2.828,2.3308,5.3155,-1.0559,3.8788,4.7945,0.3685,4.4758,-1.4305,5.1776,3.7259,2.2482,4.4176,1.683,-1.1172,0.9343,3.5669,-1.5951
GTEX-N7MS-2526-SM-26GMA,4.1986,3.3787,3.3492,3.6101,3.6737,4.1384,-3.816,6.1665,1.2023,5.9098,4.0645,5.7991,6.7123,7.7476,-2.114,4.4423,-9.9658,5.7428,5.0501,0.8082,5.5386,1.8604,-9.9658,-1.3548,5.3719,4.1211,4.3695,3.7571,4.018,4.3463,6.7491,6.3686,6.8197,4.2366,2.8681,5.2064,-9.9658,4.8709,4.9016,2.3193,-9.9658,4.6329,4.9132,7.3766,4.7788,4.8739,3.7877,-2.4659,-0.2328,-5.0116,-2.8262,-0.7588,4.073,5.5907,2.9802,-2.9324,6.206,6.0817,6.2265,4.957,5.8458,4.2235,-2.1779,-1.0559,5.4951,1.3397,-1.1811,3.1685,3.3307,-1.685,5.5085,-9.9658,4.7258,7.2133,5.5979,4.6588,5.2415,1.105,3.136,6.6663,4.5085,2.0673,4.6691,10.0072,1.3679,-9.9658,5.044,-9.9658,3.4791,-1.685,2.6019,-9.9658,3.7475,6.4373,5.2361,0.346,3.7773,-2.6349,1.4704,7.7519,3.907,2.2872,2.2175,2.9071,5.0833,4.5336,4.5243,6.5734,-0.1665,5.1716,1.8918,5.6038,6.9838,4.9468,-1.5522,-2.9324,7.8906,0.5568,2.3536,1.7053,5.9531,1.8363,5.1494,-0.3022,5.0405,1.6964,2.5036,7.5226,3.2002,2.3394,8.4672,-0.7834,8.9298,4.9905,4.5844,5.3555,4.0575,-0.5973,-9.9658,4.149,4.3456,5.1668,4.8535,4.837,4.7214,4.906,-2.2447,3.2885,-4.035,4.085,3.4344,2.0395,0.0854,-0.8863,3.644,0.5666,7.2169,2.5238,1.1833,3.5803,2.909,5.9014,4.2465,6.1388,4.4417,0.5955,4.8555,1.5316,-1.0559,5.2169,0.7146,1.7995,-1.5951,4.2892,3.8954,2.6715,1.2875,0.3573,5.0171,3.5086,4.9098,3.8075,5.7222,5.1465,3.074,3.8601,4.3342,5.9672,3.4398,-0.2671,1.595,5.2559,4.3604,-9.9658,-9.9658,5.2153,0.6239,-9.9658,5.6654,-1.0262,4.9016,0.9789,6.8276,1.1316,6.4593,3.9127,2.2603,2.8582,2.7095,1.9712,-1.8836,5.3733,1.4494,2.233,0.24,-0.1031,2.7508,6.805,2.5683,5.2854,-2.114,4.3184,-4.6082,3.5559,3.6125,-0.5125,2.874,3.6113,-0.5756,3.9561,6.6272,2.2813,4.2855,0.3907,3.4116,4.7274,2.1894,-9.9658,6.8907,-9.9658,4.8069,6.219,4.7861,6.7586,4.7955,5.8347,4.3646,0.517,6.7021,5.178,9.2015,5.2895,2.5462,5.0255,-9.9658,-9.9658,-9.9658,3.6939,5.6026,-5.5735,-9.9658,9.8993,-0.1828,6.4814,5.1014,-1.0862,-2.114,2.7139,-1.8836,3.2282,-2.9324,4.6894,2.3981,3.4183,6.735,1.4547,4.6634,5.4575,3.5374,5.17,-0.3752,3.2617,4.6317,4.1203,4.8365,2.2051,-1.6394,-1.0262,5.645,-1.8314
GTEX-N7MS-2526-SM-26GMR,4.1595,3.8769,2.6805,2.4701,2.6533,3.3731,-2.7274,4.8425,-9.9658,5.0277,4.197,4.5748,3.5287,7.2122,-2.7274,2.8936,-4.6082,3.9515,5.1867,1.2576,1.7532,0.547,-3.3076,-1.1172,3.9663,4.0445,3.2374,3.6077,2.2543,4.1804,6.3555,3.9534,4.9383,4.6352,2.1345,4.5892,-9.9658,5.2817,4.0688,1.1641,-5.5735,4.2366,4.5261,4.4027,2.9109,3.8147,2.1894,-2.6349,-2.3884,-9.9658,-1.2481,-1.7322,2.2663,4.433,2.2753,-2.114,5.0471,5.4771,4.8798,4.5268,5.2315,4.6815,-5.5735,-1.8314,4.7656,1.7702,-1.7809,1.4652,2.4597,-0.9132,4.4932,-9.9658,3.3842,5.7727,5.3951,4.7334,4.0909,-0.6193,3.1749,4.6183,4.5669,-0.6643,4.2751,7.4255,1.3623,-9.9658,3.8876,-4.2934,2.9488,-2.114,1.2576,-9.9658,2.7487,5.2906,2.4225,-0.4921,-3.1714,-1.1172,-0.6416,5.3951,3.5982,2.8219,2.3135,1.0151,4.926,3.6393,3.6347,5.8102,-0.2498,1.9188,-0.3201,4.2541,5.426,5.0255,-2.3884,-2.3884,5.5811,1.9638,1.2394,1.6234,2.6556,1.2455,3.8818,-1.1172,3.6714,2.8622,0.1257,6.3151,1.8918,1.3511,6.1845,-2.0529,7.0844,3.6042,4.4054,3.9947,3.7421,-6.5064,-9.9658,3.3506,4.0295,1.8524,4.2877,3.8501,1.4962,5.2099,-4.035,2.8034,-3.816,3.0568,2.5462,0.5069,-1.5951,-2.5479,4.3702,0.8883,5.2138,-0.1504,0.6332,2.6161,3.2959,3.0706,4.8595,4.81,2.0946,1.3623,5.5626,1.0847,-1.3548,4.1764,1.9034,-1.5522,-1.3183,3.0217,3.755,2.4934,1.8363,-0.8599,4.943,3.011,3.7518,3.9251,5.4219,4.9951,2.8402,3.9108,3.7635,4.1531,0.6699,-0.9971,-0.5543,2.2723,3.7699,-9.9658,-5.0116,5.3388,1.1184,-9.9658,5.3841,-2.114,3.9108,-0.5543,5.1469,0.8805,5.2862,3.863,1.8918,3.0876,2.667,1.7229,-1.7322,5.599,-0.1828,-1.3183,-1.3921,-3.0469,3.3619,5.467,2.791,2.6556,-1.8836,3.5899,-3.816,2.2391,2.5828,-2.2447,1.412,2.4492,-4.2934,1.8444,2.2813,2.5238,4.7798,-0.7346,2.7594,3.8289,1.0915,-9.9658,3.6691,-5.5735,4.2048,4.3709,4.1186,4.1136,4.5534,2.9875,1.7446,-2.1779,3.9856,4.5021,6.8602,4.0392,0.044,2.59,-3.3076,-6.5064,-9.9658,2.5338,4.1498,-4.6082,-9.9658,7.738,-1.9379,5.6932,3.8491,-1.4305,-9.9658,3.3883,-2.7274,3.1781,-9.9658,4.3841,1.3397,3.5694,4.6877,0.4125,4.3834,3.7171,3.0252,4.5826,0.3796,1.8879,4.7383,3.3221,3.3911,3.4251,-3.458,-0.8863,4.7608,-6.5064
GTEX-NPJ7-0011-R6a-SM-2I3G7,4.2366,1.3283,4.2165,1.9822,2.4985,3.8551,0.0718,5.6829,-0.4921,5.0304,3.9589,4.3744,4.4693,6.1875,-3.1714,3.3842,-1.0559,4.5405,3.945,-1.0262,5.8902,-0.4521,-4.6082,0.9716,5.1086,2.1957,3.7226,4.1692,5.725,3.2112,5.8625,4.594,6.0188,2.5487,2.3193,2.5924,-5.0116,3.242,4.9855,0.1124,-9.9658,1.3623,4.613,5.4233,3.3506,3.3003,2.167,-0.1504,1.7053,-6.5064,-1.7809,2.1766,4.1285,5.7806,0.2762,-2.3147,5.0405,2.7183,4.8314,3.4197,3.483,2.4649,-0.9686,-4.035,3.3605,0.8082,1.0847,-1.7809,2.7763,0.605,4.4176,-9.9658,3.7345,6.29,4.3814,3.3336,4.5355,2.4306,1.46,7.0677,3.4116,4.7651,4.1169,9.337,-1.7809,0.7146,4.5528,-0.5973,2.561,-6.5064,1.3679,-6.5064,3.3478,5.5635,5.0335,-0.5973,1.5998,0.1648,0.6239,7.5305,1.2147,2.9802,1.8604,2.4805,3.2174,2.7931,3.47,5.6741,1.7995,3.3563,-0.5973,5.7989,6.6102,4.1852,-0.8339,-2.0529,7.2897,2.0569,1.1447,1.2576,5.6139,1.0573,3.7182,1.6045,3.8719,2.0218,-1.1488,4.2892,1.1833,0.3346,7.5097,-1.8314,8.9713,3.7571,3.4477,4.4203,1.3679,1.177,-4.035,2.5263,4.8059,4.178,1.5661,4.6077,4.0748,3.644,-5.0116,3.4687,-3.816,3.4477,-5.0116,0.1257,0.3346,-0.9686,2.3394,-3.3076,6.4464,1.6785,2.2813,5.4303,2.6138,2.0673,2.0395,5.3775,6.0403,3.1987,4.174,3.8411,1.4335,4.565,-1.6394,1.7489,1.3109,5.8733,2.0638,2.0638,3.4687,-2.8262,5.9115,2.971,3.8208,0.5859,3.0428,4.0653,0.8568,1.7828,2.5972,4.7981,3.3549,1.2209,2.043,4.5442,4.7203,1.6045,-5.5735,5.804,2.1476,-9.9658,4.2227,-4.035,3.7898,0.099,4.4713,3.2647,4.1772,4.0055,0.4657,3.1195,2.5263,3.9847,-1.0862,2.118,1.6964,2.4571,-3.458,-3.0469,1.4962,5.3466,2.9929,6.5682,1.0573,2.2842,-4.035,4.2389,2.8361,0.5568,2.8955,3.3828,2.9205,3.5923,5.6505,2.3337,3.1095,0.2029,0.9642,3.0791,1.3109,-9.9658,3.4088,-4.6082,4.0584,-0.0877,2.5011,2.872,4.4608,4.5934,2.7679,2.8442,5.9127,5.0401,8.8758,3.755,2.5338,5.3259,-4.6082,-9.9658,-5.0116,1.5216,4.1796,3.6509,-9.9658,9.0258,-2.8262,3.3661,4.443,-1.0262,-4.2934,1.105,-1.9379,1.7995,-0.013,3.2511,2.3953,2.7508,5.9677,0.0014,3.5224,4.7929,2.96,2.96,1.0151,2.828,2.9929,2.6114,4.4013,1.9527,-1.5105,-0.9971,3.0825,-1.4699
GTEX-132Q8-3026-SM-5PNVG,4.7512,1.4652,4.2119,2.0946,2.7292,4.0994,-0.0425,5.2597,1.6512,4.906,5.1123,4.7033,5.2586,6.4814,-2.8262,3.992,2.6138,5.0709,4.1417,-0.9132,7.3038,0.4657,-1.5522,1.1512,5.6361,2.0844,3.7453,4.4647,6.1819,3.055,5.8607,5.4585,6.3567,3.0252,2.4544,2.9167,-6.5064,3.2002,4.9388,1.5165,-4.035,2.727,3.5324,6.035,4.9454,4.2751,2.7847,-0.3201,1.2023,-3.0469,-0.7108,0.4761,4.4115,6.6234,0.9568,-1.1172,4.9723,1.8201,5.373,3.1327,5.8965,2.3788,0.1648,-2.6349,3.2143,0.5666,1.8363,-0.7346,2.0111,0.6239,4.5497,-6.5064,4.0118,7.0099,4.4874,3.837,4.5028,2.7139,2.0979,7.2299,3.8827,4.6525,3.9318,9.3265,-1.3548,-1.9942,4.2304,-1.0262,1.5998,-9.9658,1.9859,-2.5479,3.3842,5.6637,5.5928,0.7407,2.4386,0.1648,2.7249,7.6989,1.0915,2.4198,2.7594,2.2051,2.7508,3.011,3.1813,5.1098,2.2482,3.0234,0.7407,5.5367,7.0965,4.4529,0.6969,-1.8836,7.1611,1.595,1.3623,0.5859,5.5126,0.1124,4.1474,1.1577,4.3356,2.2482,-2.3884,4.8978,2.2082,1.3454,7.1787,-1.7322,9.0331,4.0322,3.3379,4.4404,1.9188,1.614,-5.5735,2.7784,5.124,4.6899,1.692,5.4835,4.6702,3.9478,0.0854,3.7909,-2.114,2.4934,0.0014,1.5013,0.6699,-0.6873,0.6517,-3.3076,6.6557,2.0776,1.4494,5.9284,1.816,2.6533,2.183,5.4036,5.7624,2.2723,3.9261,5.3709,2.5948,4.5305,-1.8314,2.4623,1.6964,6.0446,1.9073,1.8242,2.4279,-0.7108,4.6035,2.909,3.838,2.9765,4.0153,3.7072,0.9568,1.9527,2.8542,5.1859,4.0541,0.9716,2.2783,4.3702,4.5136,-0.6193,-5.5735,5.9418,2.685,-9.9658,4.5079,-3.458,3.6748,0.5763,4.1261,2.9562,4.3242,3.5124,1.5758,2.6962,2.8681,5.2184,-0.5543,1.5563,3.3134,3.3464,-5.0116,1.0503,2.1702,4.8605,0.058,5.7578,1.9968,2.2783,-4.2934,3.6486,2.909,1.5563,3.0199,3.8905,2.4623,3.8973,5.9768,2.0147,3.2251,0.9935,0.9419,2.9802,1.6466,-5.0116,4.0357,-2.5479,3.7846,1.7009,3.1971,4.0392,4.3227,4.9937,2.8582,3.4251,6.3313,4.9598,8.4953,4.3527,3.2018,6.1344,-9.9658,0.9191,-6.5064,2.6783,4.366,-0.3566,-9.9658,10.2682,-2.5479,3.0893,4.706,-6.5064,-2.4659,2.2237,-0.3022,2.1213,-0.3383,3.3521,2.4597,2.1509,6.1811,-0.6193,3.6509,5.3989,1.9111,3.3032,3.325,2.4306,3.245,2.8442,4.8846,0.6425,-1.3183,-0.3022,3.3435,-2.7274
GTEX-NPJ7-2726-SM-2I3FT,4.0001,1.3167,3.9468,1.4441,3.011,3.6254,-1.2142,5.2884,0.3796,4.5186,4.3249,4.1044,5.1744,6.093,-1.4699,3.1765,-0.1031,4.6428,3.6486,-1.3183,6.5253,-0.6193,-3.458,0.8805,4.6764,1.8604,2.7029,4.0567,5.8841,2.6984,5.8402,4.6651,5.9305,2.7117,1.6327,3.0825,-9.9658,2.8916,4.835,-0.3022,-9.9658,2.3788,3.8208,5.7165,3.5312,3.6006,2.2633,-2.1779,1.5758,-9.9658,-0.7108,0.0854,3.4817,5.916,0.2522,-2.6349,5.1065,1.7786,5.114,3.1442,4.7533,2.4252,-1.0262,-3.816,2.9224,0.4552,-0.1665,-0.4131,1.7009,3.5136,4.5255,-9.9658,3.3407,6.5195,4.0619,3.0217,4.306,1.9859,0.8805,6.6518,4.3848,4.4797,3.6509,9.0515,-1.8314,-5.5735,4.1732,-0.1993,1.5465,-9.9658,2.1957,-5.5735,2.9356,5.404,4.9718,-0.5756,2.1638,0.2154,1.8918,7.6706,1.2209,2.3308,1.334,2.2543,2.2783,2.6371,3.335,5.3841,2.0569,2.5462,1.0573,5.1977,6.3336,3.705,1.1897,-3.6259,6.626,0.099,0.9789,0.1519,5.4453,0.7916,3.4881,-0.7108,5.149,1.8078,-0.7834,4.7093,1.177,1.196,6.9598,-2.1779,8.6436,3.3336,3.3549,4.1086,1.2209,1.2756,-3.6259,2.8361,4.421,4.2366,1.2209,4.844,4.1194,3.0533,-3.458,3.4765,-3.3076,1.7575,-1.8836,0.03,1.1382,-1.1172,1.5216,-6.5064,6.2269,1.3511,2.0742,5.4706,1.9188,3.5436,2.0707,5.0251,5.6985,1.8484,3.834,2.409,1.9111,4.0943,-1.9379,2.036,-0.394,5.2338,1.736,1.0642,1.177,-2.2447,4.085,2.4359,3.6254,2.5683,3.5498,3.1491,1.1117,1.8722,2.5707,4.4562,3.8198,0.24,2.4518,4.178,5.3995,-1.8314,-9.9658,6.0133,2.4753,-9.9658,4.1145,-2.5479,2.9507,1.3956,4.0375,2.8819,3.7678,2.9692,2.4412,3.0808,2.694,4.0269,-0.3022,1.0779,0.7664,1.934,-1.8836,0.4865,1.8683,4.839,-0.1031,5.2525,0.9716,2.1247,-2.9324,3.6816,2.2753,0.6517,3.1294,3.1095,1.7702,3.4945,5.6215,2.0254,2.4386,0.8488,0.517,2.4518,0.7664,-6.5064,3.2405,-0.1665,3.5111,1.412,1.8683,3.6242,4.38,5.0059,2.4597,2.7931,6.5137,4.5274,8.4159,3.7507,2.5238,5.1859,-9.9658,-1.7809,-9.9658,2.2051,3.9384,-0.7346,-9.9658,9.537,-3.0469,2.9802,4.1595,-2.1779,-4.035,1.3623,-2.0529,1.1184,-1.3183,3.1701,2.1988,1.9188,6.0409,-0.5125,3.4384,4.5324,1.5064,2.5536,2.6395,3.1261,2.7465,2.2693,4.3618,0.9642,-1.9942,-0.3752,3.1079,-2.6349
GTEX-13OVJ-0011-R9b-SM-5L3GD,3.7982,1.3397,3.3206,2.004,3.0961,3.7614,-0.4719,5.1977,0.6425,4.8525,3.2127,4.38,4.9987,6.0877,-0.8599,3.6691,1.0363,4.9026,3.6543,-0.6193,6.3939,-0.2328,-1.9379,0.3796,4.7565,2.0465,2.0325,4.1716,6.1073,2.4035,5.6913,4.287,5.2724,3.1813,1.5854,2.0395,-9.9658,2.8661,5.3875,0.8082,-9.9658,2.5731,3.4291,5.3625,4.0462,3.8954,-0.1504,0.4657,1.5064,-4.2934,-0.9406,-0.0277,3.1572,5.0189,3.9524,-2.9324,4.9612,2.167,5.5967,2.6715,3.3605,2.1313,0.6969,-4.6082,2.5731,0.5859,1.7786,1.0007,3.1179,2.8341,3.793,-9.9658,3.2944,6.6178,3.7804,3.3119,4.1828,2.874,1.5758,7.0627,2.6208,3.6277,3.4635,9.6441,-1.685,-4.6082,5.0175,2.824,1.674,-4.6082,2.3193,-4.035,3.3549,5.6014,4.7377,1.1641,2.8321,0.7664,1.4065,6.9279,0.8568,3.603,2.0076,1.4228,2.183,2.4492,3.7971,4.9093,2.3394,1.7575,0.3685,5.0756,6.6327,3.3605,-0.9971,-0.1665,7.6394,1.0433,0.8568,1.177,2.9262,1.1117,3.3379,0.434,6.808,2.2723,1.1641,5.1453,1.7744,1.6558,7.5629,-1.4305,9.0275,3.6335,3.3661,4.2906,1.1833,0.03,-3.3076,2.2842,3.2096,4.131,2.3843,5.7077,3.4143,2.9544,-0.7346,3.002,-6.5064,2.3981,0.537,2.1444,0.1776,-0.1031,2.1606,-0.8339,6.4217,2.4908,1.7097,3.5149,1.2455,4.5129,2.3536,6.3236,6.1459,2.1925,3.7804,3.9002,2.0395,4.3104,-2.2447,2.8199,1.105,3.9403,1.9149,1.8078,0.5271,-1.4305,3.8198,2.7805,3.0876,1.3735,3.2343,3.0842,0.1388,1.5013,2.4386,4.8105,3.867,0.4657,2.4171,4.3534,6.1855,-0.8863,-3.816,6.4204,1.412,-9.9658,3.7204,-3.6259,4.2488,0.9268,3.2389,1.9786,4.1269,3.5237,2.0535,3.1228,2.4117,2.6624,-0.394,2.1247,2.6533,3.8401,-3.1714,-0.3201,1.2085,3.9654,0.2522,4.6537,1.9822,2.4332,-2.3884,2.9148,2.3788,1.2394,2.8219,3.3745,2.3732,2.8199,4.8263,2.376,2.9356,1.8201,1.2455,2.4332,0.7321,-4.6082,3.6242,-5.0116,3.2328,3.7825,1.7185,3.0978,4.7329,4.6921,2.7227,3.8621,6.441,4.0653,8.7908,3.8411,1.8957,5.0739,-9.9658,-9.9658,-2.114,2.2603,4.2825,0.24,-5.5735,10.6929,-3.458,2.828,3.9127,-1.3183,-1.685,0.7233,-1.3548,0.7916,-0.5332,2.6325,3.0323,1.8564,5.8445,-1.1172,4.0994,4.511,3.5274,3.0723,1.0711,3.449,3.1409,1.9302,3.9636,0.7916,0.1257,-0.1345,2.3981,0.1648
